timestamp,perclos,yawn_count,steering_jerks,hours_driven,driver_fatigue
2026-05-16 18:41:12,0.0499,0,11,0.0,0
2026-05-16 18:42:12,0.053,0,15,0.02,0
2026-05-16 18:43:12,0.0355,0,11,0.03,0
2026-05-16 18:44:12,0.0719,0,13,0.05,0
2026-05-16 18:45:12,0.031,0,13,0.07,0
2026-05-16 18:46:12,0.0312,0,11,0.08,0
2026-05-16 18:47:12,0.0454,0,8,0.1,0
2026-05-16 18:48:12,0.0061,0,10,0.12,0
2026-05-16 18:49:12,0.0205,0,12,0.13,0
2026-05-16 18:50:12,0.0226,0,9,0.15,0
2026-05-16 18:51:12,0.0702,0,11,0.17,0
2026-05-16 18:52:12,0.0423,0,9,0.18,0
2026-05-16 18:53:12,0.0302,0,12,0.2,0
2026-05-16 18:54:12,0.0182,0,12,0.22,0
2026-05-16 18:55:12,0.0292,0,11,0.23,0
2026-05-16 18:56:12,0.0293,0,15,0.25,0
2026-05-16 18:57:12,0.0412,0,9,0.27,0
2026-05-16 18:58:12,0.058,0,9,0.28,0
2026-05-16 18:59:12,0.0458,0,8,0.3,0
2026-05-16 19:00:12,0.0151,0,12,0.32,0
2026-05-16 19:01:12,0.0566,0,12,0.33,0
2026-05-16 19:02:12,0.0396,0,11,0.35,0
2026-05-16 19:03:12,0.0124,0,10,0.37,0
2026-05-16 19:04:12,0.0329,0,14,0.38,0
2026-05-16 19:05:12,0.049,0,8,0.4,0
2026-05-16 19:06:12,0.0487,0,11,0.42,0
2026-05-16 19:07:12,0.0288,0,13,0.43,0
2026-05-16 19:08:12,0.063,0,13,0.45,0
2026-05-16 19:09:12,0.0257,0,11,0.47,0
2026-05-16 19:10:12,0.0492,0,13,0.48,0
2026-05-16 19:11:12,0.0331,0,11,0.5,0
2026-05-16 19:12:12,0.0207,0,9,0.52,0
2026-05-16 19:13:12,0.0591,0,14,0.53,0
2026-05-16 19:14:12,0.0415,0,13,0.55,0
2026-05-16 19:15:12,0.0503,0,10,0.57,0
2026-05-16 19:16:12,0.0504,0,14,0.58,0
2026-05-16 19:17:12,0.0425,0,14,0.6,0
2026-05-16 19:18:12,0.0,0,13,0.62,0
2026-05-16 19:19:12,0.0452,0,11,0.63,0
2026-05-16 19:20:12,0.0453,0,7,0.65,0
